UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 21:17 ?        00:00:03 /sbin/init
root           2       0  0 21:17 ?        00:00:00 [kthreadd]
root           3       2  0 21:17 ?        00:00:00 [rcu_gp]
root           4       2  0 21:17 ?        00:00:00 [rcu_par_gp]
root           5       2  0 21:17 ?        00:00:00 [netns]
root           7       2  0 21:17 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 21:17 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 21:17 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 21:17 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 21:17 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 21:17 ?        00:00:00 [rcu_sched]
root          14       2  0 21:17 ?        00:00:00 [migration/0]
root          15       2  0 21:17 ?        00:00:00 [idle_inject/0]
root          17       2  0 21:17 ?        00:00:00 [cpuhp/0]
root          18       2  0 21:17 ?        00:00:00 [cpuhp/1]
root          19       2  0 21:17 ?        00:00:00 [idle_inject/1]
root          20       2  0 21:17 ?        00:00:00 [migration/1]
root          21       2  0 21:17 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 21:17 ?        00:00:00 [kworker/1:0H-events_highpri]
root          24       2  0 21:17 ?        00:00:00 [cpuhp/2]
root          25       2  0 21:17 ?        00:00:00 [idle_inject/2]
root          26       2  0 21:17 ?        00:00:00 [migration/2]
root          27       2  0 21:17 ?        00:00:00 [ksoftirqd/2]
root          29       2  0 21:17 ?        00:00:00 [kworker/2:0H-events_highpri]
root          30       2  0 21:17 ?        00:00:00 [cpuhp/3]
root          31       2  0 21:17 ?        00:00:00 [idle_inject/3]
root          32       2  0 21:17 ?        00:00:00 [migration/3]
root          33       2  0 21:17 ?        00:00:00 [ksoftirqd/3]
root          35       2  0 21:17 ?        00:00:00 [kworker/3:0H-events_highpri]
root          36       2  0 21:17 ?        00:00:00 [kdevtmpfs]
root          37       2  0 21:17 ?        00:00:00 [inet_frag_wq]
root          41       2  0 21:17 ?        00:00:00 [kauditd]
root          42       2  0 21:17 ?        00:00:00 [khungtaskd]
root          43       2  0 21:17 ?        00:00:00 [oom_reaper]
root          44       2  0 21:17 ?        00:00:00 [writeback]
root          45       2  0 21:17 ?        00:00:00 [kcompactd0]
root          46       2  0 21:17 ?        00:00:00 [ksmd]
root          47       2  0 21:17 ?        00:00:00 [khugepaged]
root          93       2  0 21:17 ?        00:00:00 [kintegrityd]
root          94       2  0 21:17 ?        00:00:00 [kblockd]
root          95       2  0 21:17 ?        00:00:00 [blkcg_punt_bio]
root          96       2  0 21:17 ?        00:00:00 [tpm_dev_wq]
root          97       2  0 21:17 ?        00:00:00 [ata_sff]
root          98       2  0 21:17 ?        00:00:00 [md]
root          99       2  0 21:17 ?        00:00:00 [edac-poller]
root         100       2  0 21:17 ?        00:00:00 [devfreq_wq]
root         101       2  0 21:17 ?        00:00:00 [watchdogd]
root         103       2  0 21:17 ?        00:00:00 [kworker/2:1H-kblockd]
root         104       2  0 21:17 ?        00:00:00 [kswapd0]
root         105       2  0 21:17 ?        00:00:00 [ecryptfs-kthrea]
root         107       2  0 21:17 ?        00:00:00 [kthrotld]
root         108       2  0 21:17 ?        00:00:00 [irq/49-ACPI:Ged]
root         109       2  0 21:17 ?        00:00:00 [acpi_thermal_pm]
root         111       2  0 21:17 ?        00:00:00 [kworker/0:1H-events_highpri]
root         112       2  0 21:17 ?        00:00:00 [mld]
root         113       2  0 21:17 ?        00:00:00 [kworker/3:1H-kblockd]
root         114       2  0 21:17 ?        00:00:00 [ipv6_addrconf]
root         123       2  0 21:17 ?        00:00:00 [kstrp]
root         126       2  0 21:17 ?        00:00:00 [zswap-shrink]
root         127       2  0 21:17 ?        00:00:00 [kworker/u9:0]
root         130       2  0 21:17 ?        00:00:00 [kworker/1:2-events]
root         131       2  0 21:17 ?        00:00:00 [cryptd]
root         169       2  0 21:17 ?        00:00:00 [charger_manager]
root         191       2  0 21:17 ?        00:00:00 [kworker/1:1H-events_highpri]
root         263       2  0 21:17 ?        00:00:00 [kdmflush]
root         282       2  0 21:18 ?        00:00:00 [kworker/0:2-events]
root         290       2  0 21:18 ?        00:00:00 [raid5wq]
root         347       2  0 21:18 ?        00:00:00 [jbd2/dm-0-8]
root         348       2  0 21:18 ?        00:00:00 [ext4-rsv-conver]
root         385       2  0 21:18 ?        00:00:00 [hwrng]
root         427       1  0 21:18 ?        00:00:00 /lib/systemd/systemd-journald
root         454       2  0 21:18 ?        00:00:00 [ipmi-msghandler]
root         464       2  0 21:18 ?        00:00:00 [kworker/3:3-events]
root         471       2  0 21:18 ?        00:00:00 [kaluad]
root         476       2  0 21:18 ?        00:00:00 [kmpath_rdacd]
root         477       2  0 21:18 ?        00:00:00 [kmpathd]
root         478       2  0 21:18 ?        00:00:00 [kmpath_handlerd]
root         479       1  0 21:18 ?        00:00:00 /sbin/multipathd -d -s
root         485       1  0 21:18 ?        00:00:00 /lib/systemd/systemd-udevd
root         497       2  0 21:18 ?        00:00:00 [kworker/u8:3-flush-253:0]
root         553       2  0 21:18 ?        00:00:00 [scsi_eh_0]
root         554       2  0 21:18 ?        00:00:00 [scsi_tmf_0]
root         555       2  0 21:18 ?        00:00:00 [usb-storage]
root         556       2  0 21:18 ?        00:00:00 [kworker/u8:6-events_unbound]
root         557       2  0 21:18 ?        00:00:00 [kworker/u8:7-events_unbound]
root         577       2  0 21:18 ?        00:00:00 [uas]
root         670       2  0 21:18 ?        00:00:00 [jbd2/vda2-8]
root         671       2  0 21:18 ?        00:00:00 [ext4-rsv-conver]
root         688       2  0 21:18 ?        00:00:00 [kworker/0:4-events]
root         698       2  0 21:18 ?        00:00:00 [kworker/2:5-events]
systemd+     711       1  0 21:18 ?        00:00:01 /lib/systemd/systemd-oomd
systemd+     753       1  0 21:18 ?        00:00:00 /lib/systemd/systemd-networkd
systemd+     755       1  0 21:18 ?        00:00:00 /lib/systemd/systemd-resolved
